                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.47175,                0.34581,                0.98463,                0.97431,                 0.9797,                0.98977,                0.83901,                 0.6172,                0.30283,                 1.0818,              0.0013202,              0.0013202,              0.0013202
                    105,                0.47266,                0.34808,                 0.9814,                0.96265,                0.98135,                0.98675,                0.82622,                0.66805,                0.32166,                 1.1394,              0.0013136,              0.0013136,              0.0013136
                    106,                0.48129,                0.34832,                0.98507,                0.97919,                0.97462,                0.98789,                 0.8409,                0.64672,                 0.3004,                 1.1141,               0.001307,               0.001307,               0.001307
                    107,                0.46967,                0.34776,                0.97852,                 0.9642,                 0.9797,                0.98502,                0.83455,                0.64115,                0.31346,                 1.1173,              0.0013004,              0.0013004,              0.0013004
                    108,                0.47631,                0.35103,                0.98033,                0.97818,                0.97716,                0.98998,                0.83884,                0.63989,                0.30727,                 1.1099,              0.0012938,              0.0012938,              0.0012938
                    109,                0.46435,                0.32797,                0.97482,                0.97916,                0.98477,                0.99226,                 0.8562,                0.61415,                0.29877,                 1.0824,              0.0012872,              0.0012872,              0.0012872
                    110,                0.46616,                0.33952,                0.97907,                0.98205,                 0.9718,                0.99095,                0.85482,                0.62505,                0.29133,                 1.1024,              0.0012806,              0.0012806,              0.0012806
                    111,                0.45893,                0.33263,                0.98602,                0.98411,                0.97208,                0.99193,                0.84161,                0.65117,                0.30446,                 1.1124,               0.001274,               0.001274,               0.001274
                    112,                 0.4694,                0.34747,                0.98135,                0.97633,                0.98223,                0.99105,                 0.8367,                0.64011,                0.30093,                 1.1035,              0.0012674,              0.0012674,              0.0012674
                    113,                0.46952,                0.33912,                0.97563,                0.97069,                 0.9797,                 0.9911,                0.83284,                0.64947,                0.30419,                 1.1185,              0.0012608,              0.0012608,              0.0012608
                    114,                0.46163,                0.33812,                0.97452,                0.98461,                0.97462,                 0.9895,                0.83986,                0.64769,                0.31186,                 1.1189,              0.0012542,              0.0012542,              0.0012542
                    115,                0.46675,                0.33007,                0.97284,                0.98695,                0.96193,                0.98992,                0.83379,                0.64511,                0.31238,                 1.1224,              0.0012476,              0.0012476,              0.0012476
                    116,                0.45829,                0.33308,                0.96919,                0.97714,                0.97656,                 0.9884,                0.83602,                0.64669,                0.30396,                 1.1163,               0.001241,               0.001241,               0.001241
                    117,                0.45875,                0.32831,                0.97374,                0.97905,                  0.949,                0.98442,                0.83564,                0.63537,                0.31432,                 1.0983,              0.0012344,              0.0012344,              0.0012344
                    118,                0.45786,                0.34149,                0.98256,                0.96446,                0.97462,                0.98664,                0.83689,                0.65412,                 0.3111,                 1.1351,              0.0012278,              0.0012278,              0.0012278
                    119,                0.45067,                0.33186,                0.96773,                0.97865,                 0.9797,                0.98806,                0.84191,                0.63326,                0.28966,                 1.1042,              0.0012212,              0.0012212,              0.0012212
